company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_code,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year, price_amount ,price_currency_code
/company/waywire,#waywire,news,USA,NY,New York,New York,/company/magnify,Magnify,games_video,USA,NY,New York,New York,10/17/13,2013-10,2013-Q4,2013,,USD
/company/fluff-friends,(fluff)Friends,,,,unknown,,/company/social-gaming-network,Social Gaming Network,games_video,USA,CA,Los Angeles,Los Angeles,9/16/08,2008-09,2008-Q3,2008,,USD
/company/1-nation-technology,1 Nation Technology,,,,unknown,,/company/vology,Vology,other,,,unknown,,1/1/06,2006-01,2006-Q1,2006,,USD
/company/1000-markets,1000 Markets,ecommerce,,,unknown,,/company/bonanzle,Bonanza,ecommerce,USA,WA,Seattle,Seattle,9/22/12,2012-09,2012-Q3,2012,,USD
/company/1000memories,1000memories,web,USA,CA,SF Bay,San Francisco,/company/ancestry-com,Ancestry,ecommerce,USA,UT,Salt Lake City,Provo,10/3/12,2012-10,2012-Q4,2012,,USD
/company/100plus,100Plus,analytics,USA,CA,SF Bay,San Francisco,/company/practice-fusion,Practice Fusion,health,USA,CA,SF Bay,San Francisco,2/27/13,2013-02,2013-Q1,2013,,USD
/company/10best,10best,web,USA,SC,Greenville,Greenville,/company/nile-guide,NileGuide,social,USA,CA,SF Bay,San Francisco,1/25/11,2011-01,2011-Q1,2011,,USD
/company/10east,10East,network_hosting,USA,FL,Jacksonville,Jacksonville,/company/railcar-management,Railcar Management,enterprise,,,unknown,,4/14/09,2009-04,2009-Q2,2009,,USD
/company/10k-wizard,10K Wizard,,,,unknown,,/company/morningstar,Morningstar,software,USA,IL,Chicago,Chicago,12/4/08,2008-12,2008-Q4,2008,,USD
/company/118boardshop-com,118Boardshop.com,,,,unknown,,/company/leftlane-sports,LeftLane Sports,sports,USA,CA,San Luis Obispo,San Luis Obispo,7/1/11,2011-07,2011-Q3,2011,,USD
/company/123linkit-com,123LinkIt.com,,,,unknown,,/company/netline,NetLine,advertising,USA,CA,SF Bay,Los Gatos,12/6/11,2011-12,2011-Q4,2011,,USD
/company/123people,123people,search,AUT,,Vienna,Vienna,/company/pagesjaunes,PagesJaunes,advertising,FRA,,Paris,Sevres,3/19/10,2010-03,2010-Q1,2010,,USD
/company/12designer,12designer,public_relations,DEU,,Berlin,Berlin,/company/99designs,99designs,design,USA,CA,SF Bay,San Francisco,8/6/12,2012-08,2012-Q3,2012,,USD
/company/12society,12Society,ecommerce,USA,CA,Los Angeles,West Hollywood,/company/quarterly,Quarterly,web,USA,CA,Los Angeles,West Hollywood,7/3/13,2013-07,2013-Q3,2013,,USD
/company/160by2,160by2,,,,unknown,,/company/way2sms-com,Way2SMS.com,public_relations,IND,,Hyderabad,Hyderabad,1/4/12,2012-01,2012-Q1,2012,,USD
/company/170-systems,170 Systems,software,USA,MA,Boston,Bedford,/company/kofax,Kofax,software,USA,CA,Los Angeles,Irvine,9/8/09,2009-09,2009-Q3,2009,"43,000,000",USD
/company/1st-choice-security-solutions,1st Choice Security Solutions,security,USA,GA,Atlanta,Atlanta,/company/comcam,ComCam,,USA,PA,Philadelphia,West Chester,4/13/11,2011-04,2011-Q2,2011,,USD
/company/1up,1Up,software,,,unknown,,/company/ugo-entertainment,UGO Entertainment,web,USA,NY,New York,New York,1/6/09,2009-01,2009-Q1,2009,,USD
/company/1vault-networks,1Vault Networks,software,,,unknown,,/company/peak-10,Peak 10,network_hosting,USA,NC,Charlotte,Charlotte,12/22/09,2009-12,2009-Q4,2009,,USD
/company/2020-social,2020 Social,consulting,IND,,New Delhi,New Delhi,/company/publicis-groupe,Publicis Groupe,public_relations,FRA,,Paris,Paris,10/1/10,2010-10,2010-Q4,2010,,USD
/company/20-20-media,20:20 Media,,IND,,Noida,Noida,/company/publicis-groupe,Publicis Groupe,public_relations,FRA,,Paris,Paris,10/1/10,2010-10,2010-Q4,2010,,USD
/company/21st-century-infra-tele,21st Century Infra Tele,public_relations,IND,,India - Other,,/company/wireless-tt-info-services,Wireless TT Info Services,public_relations,IND,,Hyderabad,Hyderabad,4/6/10,2010-04,2010-Q2,2010,,USD
/company/236-com,236.com,web,,,unknown,,/company/huffingtonpost,The Huffington Post,news,USA,NY,New York,New York,1/14/09,2009-01,2009-Q1,2009,,USD
/company/24-solutions-ab,24 Solutions AB,,,,unknown,,/company/24mas,24MAS,,SWE,,Nacka,Nacka,12/23/09,2009-12,2009-Q4,2009,,USD
/company/24-7-real-media,24/7 Real Media,advertising,USA,NY,New York,New York,/company/wpp,WPP,public_relations,USA,NY,New York,New York,5/17/08,2008-05,2008-Q2,2008,"649,000,000",USD
/company/24-7-solutions,24/7 Solutions,software,,,unknown,,/company/sentel,Sentel,other,,,unknown,,4/16/09,2009-04,2009-Q2,2009,,USD
/company/263-com,263.com,,,,unknown,,/company/beijing-feixiangren-information-technology,Beijing Feixiangren Information Technology,web,CHN,,Beijing,Beijing,1/8/10,2010-01,2010-Q1,2010,,USD
/company/280-north,280 North,public_relations,,,unknown,,/company/motorola-solutions,Motorola Solutions,enterprise,USA,IL,Chicago,Schaumburg,7/1/10,2010-07,2010-Q3,2010,"20,000,000",USD
/company/280-north,280 North,public_relations,,,unknown,,/company/motorola-mobility,Motorola Mobility,mobile,USA,,United States - Other,,7/1/10,2010-07,2010-Q3,2010,"20,000,000",USD
/company/2dehands-be,2dehands.be,ecommerce,BEL,,Belgium - Other,,/company/ebay,eBay,web,USA,CA,SF Bay,San Jose,7/4/13,2013-07,2013-Q3,2013,,USD
/company/2ememain-be,2ememain.be,ecommerce,BEL,,Belgium - Other,,/company/ebay,eBay,web,USA,CA,SF Bay,San Jose,7/4/13,2013-07,2013-Q3,2013,,USD
/company/2ergo,2ergo,mobile,USA,VA,Washington DC,Arlington,/company/soundbite-communication,SoundBite Communications,public_relations,USA,VA,Bedford,Bedford,2/1/12,2012-02,2012-Q1,2012,,USD
/company/2nd-story-software-inc,"2nd Story Software, Inc.",software,USA,IA,Cedar Rapids,Cedar Rapids,/company/blucora,Blucora,web,USA,WA,Seattle,Bellevue,1/9/12,2012-01,2012-Q1,2012,"287,500,000",USD
/company/2web-technologies,2Web Technologies,,,,unknown,,/company/google,Google,search,USA,CA,SF Bay,Mountain View,6/1/06,2006-06,2006-Q2,2006,,USD
/company/2wire,2Wire,web,USA,CA,SF Bay,San Jose,/company/pace,Pace,hardware,GBR,,England,England,7/26/10,2010-07,2010-Q3,2010,"475,000,000",USD
/company/3-blokes-studios,3 Blokes Studios,games_video,AUS,,Fortitude Valley QLD,Fortitude Valley QLD,/company/rockyou,RockYou,games_video,USA,CA,SF Bay,Redwood City,6/1/11,2011-06,2011-Q2,2011,,USD
/company/3001,3001,,USA,VA,Washington DC,Fairfax,/company/northrop-grumman,Northrop Grumman,security,USA,CA,Los Angeles,Los Angeles,9/10/08,2008-09,2008-Q3,2008,,USD
/company/360-scheduling,360 Scheduling,software,GBR,,Nottingham,Nottingham,/company/ifs,IFS,software,,,unknown,,9/30/10,2010-09,2010-Q3,2010,,USD
/company/360-vantage,360 Vantage,mobile,USA,AZ,Phoenix,Chandler,/company/ims-health,IMS Health,web,USA,CT,Danbury,Danbury,5/20/13,2013-05,2013-Q2,2013,,USD
/company/360commerce,360Commerce,,USA,TX,Austin,Austin,/company/oracle,Oracle Corporation,enterprise,USA,CA,SF Bay,Redwood City,1/18/06,2006-01,2006-Q1,2006,,USD
/company/360naija-forum,360Naija Forum,,,,unknown,,/company/iroyin,Iroyin,consulting,NGA,,Ikeja,"Ikeja, Lagos",9/25/11,2011-09,2011-Q3,2011,"10,000",USD
/company/360networks,360networks,public_relations,USA,WA,Seattle,Seattle,/company/zayo-bandwidth,Zayo Bandwidth,network_hosting,USA,CO,Denver,Louisville,12/2/11,2011-12,2011-Q4,2011,,USD
/company/360networks,360networks,public_relations,USA,WA,Seattle,Seattle,/company/zayo-group,Zayo Group,public_relations,USA,CO,Denver,Louisville,10/1/11,2011-10,2011-Q4,2011,,USD
/company/3721-internet-assistant,3721 Internet Assistant,,,,unknown,,/company/yahoo,Yahoo!,web,USA,CA,SF Bay,Sunnyvale,1/1/04,2004-01,2004-Q1,2004,,USD
/company/380-development,380 Development,,,,unknown,,/company/kb-marine-holdings,KB Marine Holdings,,,,unknown,,11/11/09,2009-11,2009-Q4,2009,,USD
/company/3com,3Com,web,USA,MA,Boston,Marlborough,/company/hewlett-packard,Hewlett-Packard,web,USA,CA,SF Bay,Palo Alto,11/11/09,2009-11,2009-Q4,2009,"2,700,000,000",USD
/company/3d-geo,3D Geo,software,DEU,,Potsdam,Potsdam,/company/autodesk,Autodesk,software,USA,CA,SF Bay,San Rafael,9/9/08,2008-09,2008-Q3,2008,,USD
/company/3d-markets,3D Markets,software,,,unknown,,/company/pipeline-financial-group,Pipeline Financial Group,enterprise,USA,NY,New York,New York,4/22/09,2009-04,2009-Q2,2009,,USD
/company/3d-plus,3D Plus,semiconductor,FRA,,BUC,BUC,/company/heico,Heico,other,USA,FL,Fort Lauderdale,Hollywood,6/21/11,2011-06,2011-Q2,2011,,USD
/company/3d3r,3D3R Software Studio,software,USA,CA,SF Bay,Santa Clara,/company/chegg,Chegg,education,USA,CA,SF Bay,Santa Clara,11/14/11,2011-11,2011-Q4,2011,,USD
/company/3db-research,3dB Research,,CAN,,Victoria,"Victoria, BC",/company/harman-international,Harman International Industries,other,USA,CT,New York,Stamford,2/18/11,2011-02,2011-Q1,2011,,USD
/company/3di-technologies,3Di Technologies Inc,software,USA,MD,Washington DC,Hanover,/company/l-3-communications,L-3 Communications,mobile,USA,MA,Boston,Canton,9/21/10,2010-09,2010-Q3,2010,,USD
/company/3done-software,3DOne Software,,,,unknown,,/company/actify,Actify,,USA,CA,SF Bay,San Francisco,7/6/11,2011-07,2011-Q3,2011,,USD
/company/3dtin,3DTin,,,,unknown,,/company/lagoa,Lagoa,enterprise,CAN,,Montreal,"Montreal, Quebec",9/22/13,2013-09,2013-Q3,2013,,USD
/company/3e-company,3E Company,cleantech,USA,CA,San Diego,Carlsbad,/company/verisk-analytics,Verisk Analytics,public_relations,USA,NJ,New York,Jersey City,12/7/10,2010-12,2010-Q4,2010,"110,000,000",USD
/company/3leaf,3Leaf,software,USA,CA,SF Bay,Santa Clara,/company/huawei,Huawei Technologies,network_hosting,CHN,,Shenzhen,Shenzhen,2/19/11,2011-02,2011-Q1,2011,,USD
/company/3lm,3LM,mobile,,,unknown,,/company/motorola-mobility,Motorola Mobility,mobile,USA,,United States - Other,,2/14/11,2011-02,2011-Q1,2011,,USD
/company/3one-media-hawaii,3One Media Hawaii,network_hosting,USA,HI,Honolulu,Honolulu,/company/us-internet,US Internet,network_hosting,USA,MN,Minneapolis,Minnetonka,2/1/01,2001-02,2001-Q1,2001,,USD
/company/3par,3PAR,software,USA,CA,SF Bay,Fremont,/company/hewlett-packard,Hewlett-Packard,web,USA,CA,SF Bay,Palo Alto,9/2/10,2010-09,2010-Q3,2010,"2,350,000,000",USD
/company/3pd-inc,"3PD, Inc.",other,USA,GA,Atlanta,Marietta,/company/xpo-logistics,XPO Logistics,ecommerce,USA,CT,New York,Greenwich,8/16/13,2013-08,2013-Q3,2013,"365,000,000",USD
/company/3ple-media,3ple-Media,,NLD,,Schiphol-Rijk,Schiphol-Rijk,/company/newnet-communication-technologies,NewNet Communication Technologies,public_relations,USA,IL,Chicago,Arlington Heights,10/19/10,2010-10,2010-Q4,2010,,USD
/company/3rd-power,3rd Power,web,,,unknown,,/company/webmediabrands,WebMediaBrands,web,USA,NY,New York,New York,1/3/10,2010-01,2010-Q1,2010,,USD
/company/3rdwhale,3rdWhale,mobile,,,unknown,,/company/gengreen,GenGreen,cleantech,,,unknown,,9/30/09,2009-09,2009-Q3,2009,,USD
/company/3tera,3Tera,enterprise,USA,CA,Los Angeles,Aliso Viejo,/company/ca,CA Technologies,software,USA,NY,Islandia,Islandia,2/24/10,2010-02,2010-Q1,2010,,USD
/company/3tier-environmental-forecast-group,3TIER,cleantech,USA,WA,Seattle,Seattle,/company/vaisala,Vaisala,,FIN,,Vantaa,Vantaa,12/17/13,2013-12,2013-Q4,2013,"7,700,000",USD
/company/3x-systems,3X Systems,security,USA,OH,Columbus,Columbus,/company/trustyd,Trustyd,,,,unknown,,10/25/12,2012-10,2012-Q4,2012,,USD
/company/41st-parameter,41st Parameter,security,USA,CA,SF Bay,San Jose,/company/experian,Experian,web,USA,CA,Los Angeles,Costa Mesa,10/1/13,2013-10,2013-Q4,2013,"324,000,000",USD
/company/42networks,42Networks,public_relations,SWE,,Kista,Kista,/company/packetfront,PacketFront,software,SWE,,Stockholm,Stockholm,12/15/06,2006-12,2006-Q4,2006,,USD
/company/4hak-developers,4hak Developers,software,,,unknown,,/company/4hak-developers,4hak Developers,software,,,unknown,,7/29/13,2013-07,2013-Q3,2013,"1,858",USD
