company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,investor_permalink,investor_name,investor_category_code,investor_country_code,investor_state_code,investor_region,investor_city,funding_round_type,funded_at,funded_month,funded_quarter,funded_year, raised_amount_usd ,
/company/tokita-investments,Tokita Investments,consulting,,,unknown,,/company/01startups,01Startups,,,,unknown,,angel,9/26/13,2013-09,2013-Q3,2013,"5,000",
/company/advercar,AdverCar,advertising,USA,CA,SF Bay,San Francisco,/company/1-800-flowers-com,1-800-FLOWERS.COM,,USA,NY,New York,New York,series-a,10/30/12,2012-10,2012-Q4,2012,"2,000,000",
/company/launchgram,LaunchGram,news,USA,CA,SF Bay,Mountain View,/company/10xelerator,10Xelerator,finance,USA,OH,Columbus,Columbus,other,1/23/12,2012-01,2012-Q1,2012,"20,000",
/company/utap,uTaP,messaging,USA,,United States - Other,,/company/10xelerator,10Xelerator,finance,USA,OH,Columbus,Columbus,other,1/1/12,2012-01,2012-Q1,2012,"20,000",
/company/zoopshop,ZoopShop,software,USA,OH,Columbus,columbus,/company/10xelerator,10Xelerator,finance,USA,OH,Columbus,Columbus,angel,2/15/12,2012-02,2012-Q1,2012,"20,000",
/company/efuneral,eFuneral,web,USA,OH,Cleveland,Cleveland,/company/10xelerator,10Xelerator,finance,USA,OH,Columbus,Columbus,other,9/8/11,2011-09,2011-Q3,2011,"20,000",
/company/tackk,Tackk,web,USA,OH,Cleveland,Cleveland,/company/10xelerator,10Xelerator,finance,USA,OH,Columbus,Columbus,other,2/1/12,2012-02,2012-Q1,2012,"20,000",
/company/acclaimd,Acclaimd,analytics,USA,OH,Columbus,Columbus,/company/10xelerator,10Xelerator,finance,USA,OH,Columbus,Columbus,angel,6/1/12,2012-06,2012-Q2,2012,"20,000",
/company/acceptd,Acceptd,software,USA,OH,Columbus,Dublin,/company/10xelerator,10Xelerator,finance,USA,OH,Columbus,Columbus,angel,6/1/11,2011-06,2011-Q2,2011,"20,000",
/company/prized,Prized,games_video,USA,,United States - Other,,/company/10xelerator,10Xelerator,finance,USA,OH,Columbus,Columbus,angel,8/10/13,2013-08,2013-Q3,2013,"20,000",
/company/imagry,Imagry,ecommerce,USA,OH,Columbus,Columbus,/company/10xelerator,10Xelerator,finance,USA,OH,Columbus,Columbus,angel,9/1/13,2013-09,2013-Q3,2013,"20,000",
/company/moveez,MoveEZ,web,USA,OH,Columbus,Columbus,/company/10xelerator,10Xelerator,finance,USA,OH,Columbus,Columbus,other,9/16/13,2013-09,2013-Q3,2013,"20,000",
/company/connecttohome,ConnectToHome,other,USA,OH,Ohio - Other,,/company/10xelerator,10Xelerator,finance,USA,OH,Columbus,Columbus,other,9/19/13,2013-09,2013-Q3,2013,"20,000",
/company/acclaimd,Acclaimd,analytics,USA,OH,Columbus,Columbus,/company/10xelerator,10Xelerator,finance,USA,OH,Columbus,Columbus,angel,8/7/12,2012-08,2012-Q3,2012,"70,000",
/company/panopticon-laboratories,Panopticon Laboratories,security,,,unknown,,/company/10xelerator,10Xelerator,finance,USA,OH,Columbus,Columbus,angel,9/4/13,2013-09,2013-Q3,2013,"20,000",
/company/fly-apparel,Fly Apparel,fashion,USA,OH,Columbus,Columbus,/company/10xelerator,10Xelerator,finance,USA,OH,Columbus,Columbus,angel,9/1/13,2013-09,2013-Q3,2013,"20,000",
/company/oye,OYE!,analytics,USA,OH,Columbus,Columbus,/company/10xelerator,10Xelerator,finance,USA,OH,Columbus,Columbus,angel,9/4/13,2013-09,2013-Q3,2013,"20,000",
/company/nival-network,Nival,games_video,RUS,,Moscow,Moscow,/company/1c-company,1C Company,software,RUS,,Moscow,Moscow,venture,3/17/10,2010-03,2010-Q1,2010,"7,000,000",
/company/startme,StartMe,finance,ZAF,,Midrand,Midrand,/company/1st-media-services,1st Media services,,,,unknown,,other,10/1/11,2011-10,2011-Q4,2011,"50,000",
/company/readfy-gmbh,readfy,mobile,DEU,,Duesseldorf,Duesseldorf,/company/1stmover-org,1stMover.org,,,,unknown,,angel,7/1/13,2013-07,2013-Q3,2013,,
/company/toviefor,ToVieFor,ecommerce,USA,NY,New York,New York,/company/2010-nyu-stern-business-plan-competition,2010 NYU Stern Business Plan Competition,,,,unknown,,angel,4/1/10,2010-04,2010-Q2,2010,"75,000",
/company/ispye,iSpye,mobile,GBR,,Glasgow,Glasgow,/company/20-20-multimedia-group,20:20 Multimedia Group,,,,unknown,,private-equity,9/26/12,2012-09,2012-Q3,2012,,
/company/ohk-labs,OHK Labs,sports,USA,FL,Palm Beach,Boca Raton,/company/22hundred-group,22Hundred Group,,,,unknown,,angel,9/1/11,2011-09,2011-Q3,2011,"100,000",
/company/latto,LATTO,enterprise,ISR,,Tel Aviv,Tel Aviv,/company/2bangles,2BAngles,,,,unknown,,series-a,2/1/11,2011-02,2011-Q1,2011,"11,000,000",
/company/latto,LATTO,enterprise,ISR,,Tel Aviv,Tel Aviv,/company/2bangles,2BAngles,,,,unknown,,series-b,7/31/13,2013-07,2013-Q3,2013,"4,000,000",
/company/airvend,AIRVEND,software,USA,UT,Salt Lake City,Provo,/company/365-retail-markets,365 Retail Markets,software,USA,MI,Detroit,Troy,angel,1/2/14,2014-01,2014-Q1,2014,"1,200,000",
/company/blokify,Blokify,games_video,USA,NY,New York,New York,/company/3d-systems,3D Systems,software,USA,SC,Rock Hill,Rock Hill,angel,9/1/13,2013-09,2013-Q3,2013,"600,000",
/company/ecovative-designs,Ecovative Design,cleantech,USA,NY,Green Island,Green Island,/company/3m-company,3M Company,,,,unknown,,venture,11/8/13,2013-11,2013-Q4,2013,"14,000,000",
/company/lovely,Lovely,real_estate,USA,CA,SF Bay,San Francisco,/company/3taps,3taps,web,USA,CA,SF Bay,San Francisco,series-a,10/1/12,2012-10,2012-Q4,2012,"2,000,000",
/company/myfairpartner,myFairPartner,other,GBR,,London,London,/company/3u-holding-ag,3U HOLDING AG,,,,unknown,,angel,1/1/09,2009-01,2009-Q1,2009,"620,969",
/company/birthdayslam-com,Birthday Slam,health,CAN,,Toronto,Toronto,/company/3w-capital,3W Capital,,,,unknown,,angel,10/1/10,2010-10,2010-Q4,2010,"100,000",
/company/peertransfer,peerTransfer,finance,USA,MA,Boston,Boston,/company/500-hats,500 Hats,,USA,CA,SF Bay,Palo Alto,angel,10/28/10,2010-10,2010-Q4,2010,"1,100,000",
/company/51intern-com-2,51intern.com èÜ±èÉ_ç_Ô,social,CHN,,Putuo District,"Putuo District, Shanghai",/company/51intern-consulting,51intern Consulting,,,,unknown,,angel,11/1/10,2010-11,2010-Q4,2010,,
/company/buzzoole,Buzzoole,advertising,ITA,,Naples,Naples,/company/56cube,56CUBE,other,ITA,,Fisciano,Fisciano (SA),angel,11/12/13,2013-11,2013-Q4,2013,"231,588",
/company/intertwine,Intertwine,web,ITA,,TBD,Fisciano,/company/56cube,56CUBE,other,ITA,,Fisciano,Fisciano (SA),venture,12/5/13,2013-12,2013-Q4,2013,"141,526",
/company/kartrocket,KartRocket,ecommerce,IND,,New Delhi,New Delhi,/company/5ideas-in,5ideas.in,other,IND,,Gurgaon,"Gurgaon, Haryana",angel,7/23/13,2013-07,2013-Q3,2013,,
/company/viss,Viss,ecommerce,HKG,,Quarry Bay,Quarry Bay,/company/8-plus-holding,8 Plus Holding,,,,unknown,,angel,5/20/13,2013-05,2013-Q2,2013,,
/company/sfilatino,sfilatino,ecommerce,ITA,,Milano,milano,/company/99-fahrenheit,99 Fahrenheit,finance,ITA,,Milano,Milano,angel,2/20/12,2012-02,2012-Q1,2012,"100,000",
/company/spotdock,spotdock,web,USA,NY,New York,NYC,/company/9mmedia-llc,"9mmedia, LLC",,,,unknown,,angel,1/10/12,2012-01,2012-Q1,2012,"600,000",
/company/ag-p,AG&P,cleantech,PHL,,unknown,Batangas,/company/a-soriano-corporation,A. Soriano Corporation,finance,PHL,,Makati,Makati,series-c+,7/2/13,2013-07,2013-Q3,2013,"53,000,000",
/company/azure-solutions,Azure Solutions,software,GBR,,London,London,/company/a-g-edwards-sons,A.G. Edwards & Sons,,USA,MO,Saint Louis,St. Louis,venture,6/16/05,2005-06,2005-Q2,2005,"15,000,000",
/company/fisker,Fisker Automotive,automotive,USA,CA,Los Angeles,Irvine,/company/a123systems,A123 Systems,nanotech,USA,MA,Boston,Watertown,series-a,5/1/10,2010-05,2010-Q2,2010,"189,000,000",
/company/fisker,Fisker Automotive,automotive,USA,CA,Los Angeles,Irvine,/company/a123systems,A123 Systems,nanotech,USA,MA,Boston,Watertown,venture,2/22/11,2011-02,2011-Q1,2011,"150,000,000",
/company/metroflats-com,MetroFlats.com,travel,USA,NJ,Cedar Grove,Cedar Grove,/company/aa-investments,AA Investments,,BMU,,Bermuda - Other,,angel,8/18/10,2010-08,2010-Q3,2010,,
/company/sportsetter,SportSetter,health,FIN,,Helsinki,Helsinki,/company/aalto-start-up-center,Aalto Start Up Center,,,,unknown,,angel,6/1/12,2012-06,2012-Q2,2012,"67,000",
/company/peerz,Peerz,web,NLD,,Amsterdam,Amsterdam,/company/aamigoo-com,AamigoO.com,,,,unknown,,angel,1/14/10,2010-01,2010-Q1,2010,"144,860",
/company/mesocoat,MesoCoat,nanotech,USA,OH,Cleveland,Euclid,/company/abakan-inc,Abakan,cleantech,USA,FL,Miami,Miami,venture,12/14/09,2009-12,2009-Q4,2009,,
/company/trilliant,Trilliant,hardware,USA,CA,SF Bay,Redwood City,/company/abb,ABB,cleantech,CHE,,Zurich,Zurich,series-b,7/15/10,2010-07,2010-Q3,2010,"106,000,000",
/company/power-assure,Power Assure,network_hosting,USA,CA,SF Bay,Santa Clara,/company/abb,ABB,cleantech,CHE,,Zurich,Zurich,venture,9/20/10,2010-09,2010-Q3,2010,"1,500,000",
/company/pentalum-technologies,Pentalum Technologies,cleantech,ISR,,Rehovot,Rehovot,/company/abb,ABB,cleantech,CHE,,Zurich,Zurich,venture,11/17/10,2010-11,2010-Q4,2010,,
/company/aquamarine-power,Aquamarine Power,cleantech,GBR,,Edinburgh,Edinburgh,/company/abb,ABB,cleantech,CHE,,Zurich,Zurich,venture,11/24/10,2010-11,2010-Q4,2010,"17,400,000",
/company/trilliant,Trilliant,hardware,USA,CA,SF Bay,Redwood City,/company/abb,ABB,cleantech,CHE,,Zurich,Zurich,venture,12/21/10,2010-12,2010-Q4,2010,,
/company/ecotality,ECOtality,cleantech,USA,CA,SF Bay,San Francisco,/company/abb,ABB,cleantech,CHE,,Zurich,Zurich,venture,1/9/11,2011-01,2011-Q1,2011,"10,000,000",
/company/aquamarine-power,Aquamarine Power,cleantech,GBR,,Edinburgh,Edinburgh,/company/abb,ABB,cleantech,CHE,,Zurich,Zurich,venture,9/30/11,2011-09,2011-Q3,2011,"10,906,479",
/company/evalve,Evalve,biotech,USA,CA,SF Bay,Menlo Park,/company/abbott,Abbott Labs,biotech,USA,IL,Chicago,Des Plaines,series-c+,11/27/07,2007-11,2007-Q4,2007,"60,000,000",
/company/ovalis,Ovalis,biotech,USA,CA,SF Bay,Mountain View,/company/abbott,Abbott Labs,biotech,USA,IL,Chicago,Des Plaines,series-b,1/30/07,2007-01,2007-Q1,2007,"6,600,000",
/company/alvine-pharmaceuticals,Alvine Pharmaceuticals,biotech,USA,CA,SF Bay,San Carlos,/company/abbvie,AbbVie,biotech,USA,IL,Chicago,Chicago,private-equity,5/14/13,2013-05,2013-Q2,2013,"70,000,000",
/company/avaxia-biologics,Avaxia Biologics,biotech,USA,MA,Boston,Lexington,/company/abbvie,AbbVie,biotech,USA,IL,Chicago,Chicago,series-b,6/7/13,2013-06,2013-Q2,2013,"11,500,000",
/company/aurasense-therapeutics,AuraSense Therapeutics,biotech,USA,IL,Chicago,Evanston,/company/abbvie,AbbVie,biotech,USA,IL,Chicago,Chicago,series-b,7/31/13,2013-07,2013-Q3,2013,,
