company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,funding_round_type,funded_at,funded_month,funded_quarter,funded_year, raised_amount_usd 
/company/0-6-com,0-6.com,ecommerce,,,unknown,,series-a,3/19/08,2008-03,2008-Q1,2008,"2,000,000"
/company/0xdata,0xdata,analytics,USA,CA,SF Bay,Mountain View,venture,1/3/13,2013-01,2013-Q1,2013,"1,700,000"
/company/1,One Inc.,mobile,USA,CA,SF Bay,San Francisco,angel,7/20/11,2011-07,2011-Q3,2011,"1,000,050"
/company/1-800-dentist,1-800-DENTIST,health,USA,CA,Los Angeles,Los Angeles,venture,8/19/10,2010-08,2010-Q3,2010,
/company/1-800-doctors,1-800-DOCTORS,health,USA,NJ,Iselin,Iselin,series-a,3/2/11,2011-03,2011-Q1,2011,"1,750,000"
/company/10-20-media,10-20 Media,ecommerce,USA,MD,Washington DC,Woodbine,other,3/30/10,2010-03,2010-Q1,2010,"250,000"
/company/10-20-media,10-20 Media,ecommerce,USA,MD,Washington DC,Woodbine,other,12/28/11,2011-12,2011-Q4,2011,"500,000"
/company/10-20-media,10-20 Media,ecommerce,USA,MD,Washington DC,Woodbine,other,1/11/11,2011-01,2011-Q1,2011,"800,000"
/company/1000-markets,1000 Markets,ecommerce,,,unknown,,angel,5/15/09,2009-05,2009-Q2,2009,"500,000"
/company/1000jobboersen-de,1000jobboersen.de,web,DEU,,Germany - Other,,series-b,9/16/11,2011-09,2011-Q3,2011,
/company/1000memories,1000memories,web,USA,CA,SF Bay,San Francisco,angel,1/1/10,2010-01,2010-Q1,2010,"15,000"
/company/1000memories,1000memories,web,USA,CA,SF Bay,San Francisco,series-a,2/16/11,2011-02,2011-Q1,2011,"2,520,000"
/company/1000museums-com,1000museums.com,web,USA,WA,Seattle,Bellevue,venture,4/5/11,2011-04,2011-Q2,2011,"642,000"
/company/1000museums-com,1000museums.com,web,USA,WA,Seattle,Bellevue,other,4/8/13,2013-04,2013-Q2,2013,"647,879"
/company/1001-menus,1001 Menus,web,FRA,,Paris,Paris,series-a,11/13/13,2013-11,2013-Q4,2013,"1,736,910"
/company/100du-tv,100du.tv,hospitality,,,unknown,,series-a,1/7/08,2008-01,2008-Q1,2008,"3,000,000"
